Federal state,AOI,ID Corg measurement,Measurement,Corg content,y_coord,x_coord,sample point no.,campaign no.,sampling type,year of sampling,soil unit,soil unit definition,BD1,BD2,BD3,FC1,FC2,FC3,PWP1,PWP2,PWP3
Brandenburg,study area Ziethen,7,Corg,4424.7,5867488,5424325,1007,1,permanent sampling,1992,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,8,Corg,4436.0,5867940,5424663,1008,1,permanent sampling,1992,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,21,Corg,6349.6,5869885,5427332,1021,1,permanent sampling,1992,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,23,Corg,4841.6,5869787,5426839,1023,1,permanent sampling,1992,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,50,Corg,8863.4,5871690,5427881,1051,1,permanent sampling,1992,D5a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,50,Corg,8863.4,5871690,5427881,1051,1,permanent sampling,1992,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,98,Corg,5112.3,5867488,5424325,1007,2,permanent sampling,1993,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,99,Corg,4505.3,5867940,5424663,1008,2,permanent sampling,1993,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,112,Corg,6928.0,5869885,5427332,1021,2,permanent sampling,1993,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,114,Corg,7618.0,5869787,5426839,1023,2,permanent sampling,1993,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,141,Corg,10597.1,5871690,5427881,1051,2,permanent sampling,1993,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,189,Corg,3875.5,5867488,5424325,1007,3,permanent sampling,1994,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,190,Corg,6313.2,5867940,5424663,1008,3,permanent sampling,1994,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,203,Corg,6598.8,5869885,5427332,1021,3,permanent sampling,1994,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,205,Corg,7391.6,5869787,5426839,1023,3,permanent sampling,1994,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,232,Corg,10622.2,5871690,5427881,1051,3,permanent sampling,1994,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,274,Corg,10064.9,5870128,5428489,1093,3,permanent sampling,1994,D3a,,1.57,,,,,,,,
Brandenburg,study area Ziethen,275,Corg,10935.0,5871655,5427723,1094,3,permanent sampling,1994,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,282,Corg,2578.5,5867488,5424325,1007,4,permanent sampling,1995,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,283,Corg,4386.7,5867940,5424663,1008,4,permanent sampling,1995,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,296,Corg,5914.5,5869885,5427332,1021,4,permanent sampling,1995,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,298,Corg,6776.7,5869787,5426839,1023,4,permanent sampling,1995,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,325,Corg,8047.0,5871690,5427881,1051,4,permanent sampling,1995,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,367,Corg,10619.4,5870128,5428489,1093,4,permanent sampling,1995,D3a,,1.57,,,,,,,,
Brandenburg,study area Ziethen,368,Corg,12517.6,5871655,5427723,1094,4,permanent sampling,1995,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,375,Corg,3894.2,5867488,5424325,1007,5,permanent sampling,1996,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,376,Corg,4923.6,5867940,5424663,1008,5,permanent sampling,1996,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,389,Corg,7412.1,5869885,5427332,1021,5,permanent sampling,1996,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,391,Corg,8582.0,5869787,5426839,1023,5,permanent sampling,1996,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,418,Corg,8509.7,5871690,5427881,1051,5,permanent sampling,1996,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,459,Corg,6155.3,5870128,5428489,1093,5,permanent sampling,1996,D3a,,1.57,,,,,,,,
Brandenburg,study area Ziethen,460,Corg,10937.6,5871655,5427723,1094,5,permanent sampling,1996,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,567,Corg,4495.3,5867488,5424325,1007,7,permanent sampling,1997,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,568,Corg,4832.4,5867940,5424663,1008,7,permanent sampling,1997,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,581,Corg,8286.1,5869885,5427332,1021,7,permanent sampling,1997,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,583,Corg,11145.5,5869787,5426839,1023,7,permanent sampling,1997,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,610,Corg,10404.5,5871690,5427881,1051,7,permanent sampling,1997,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,652,Corg,8355.9,5870128,5428489,1093,7,permanent sampling,1997,D3a,,1.57,,,,,,,,
Brandenburg,study area Ziethen,653,Corg,11907.5,5871655,5427723,1094,7,permanent sampling,1997,D5a,,1.63,,,,,,,,
Brandenburg,study area Ziethen,763,Corg,3626.4,5867488,5424325,1007,9,permanent sampling,1998,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,764,Corg,4439.8,5867940,5424663,1008,9,permanent sampling,1998,D2a,,1.55,,,,,,,,
Brandenburg,study area Ziethen,777,Corg,8164.5,5869885,5427332,1021,9,permanent sampling,1998,D5b,,1.63,,,,,,,,
Brandenburg,study area Ziethen,779,Corg,8404.3,5869787,5426839,1023,9,permanent sampling,1998,D5b,,1.63,,,,,,,,
